cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
109238,C29H50N6O4,546.7,-0.3,6,10,FALSE,68227-54-3,41230,68227543,NA,NA,"2-Propanol, 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[3-[bis(2-aminoethyl)amino]-",NA,NA,NA,INACTIVE
15447,C4H4Cl2,122.98,2.7,0,0,TRUE,1653-19-6,8962,1653196,NA,NA,"1,3-Butadiene, 2,3-dichloro-",NA,NA,NA,ACTIVE
79085,C6H12N2,112.17,0.4,0,2,TRUE,627-70-3,6482,627703,NA,NA,"2-Propanone, 2-(1-methylethylidene)hydrazone",NA,NA,NA,ACTIVE
109580,C10H22O2,174.28,2.2,0,2,TRUE,68134-24-7,40027,68134247,NA,NA,"Butane, 1-[2-(1,1-dimethylethoxy)ethoxy]-",NA,NA,NA,INACTIVE
10393,C8H10O2,138.16,0.4,2,2,TRUE,501-94-0,4647,501940,NA,NA,"Benzeneethanol, 4-hydroxy-",NA,NA,NA,ACTIVE
8507,C27H31N2NaO6S2,566.7,NA,0,7,FALSE,129-17-9,3409,129179,NA,NA,"Ethanaminium, N-[4-[[4-(diethylamino)phenyl](2,4-disulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, inner salt, sodium salt (1:1)",NA,NA,NA,ACTIVE
44147871,C18H28BrN,338.3,NA,0,1,FALSE,125252-52-0,63085,125252520,NA,NA,"3H-Indolium, 1-heptyl-2,3,3-trimethyl-, bromide (1:1)",NA,NA,PMN,INACTIVE
2723873,C22H12N4Na4O13S4,760.6,NA,1,17,FALSE,6226-79-5,13914,6226795,NA,NA,"2,7-Naphthalenedisulfonic acid, 3-hydroxy-4-[2-[2-sulfo-4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]-, sodium salt (1:4)",NA,NA,NA,ACTIVE
66016,C11H18N2,178.27,1.3,1,2,TRUE,102-11-4,2120,102114,NA,NA,"1,2-Ethanediamine, N1,N2-dimethyl-N1-(phenylmethyl)-",NA,NA,NA,ACTIVE
74884,C9H4F15I,524.01,6.8,0,15,FALSE,2043-52-9,9438,2043529,NA,NA,"Nonane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-9-iodo-",NA,NA,NA,INACTIVE
93886,C17H19F3N2O,324.34,3.4,0,5,TRUE,58721-74-7,31308,58721747,NA,NA,"7H-Pyrrolo[3,2-g]quinolin-7-one, 1,2,3,8-tetrahydro-1,2,3,3,8-pentamethyl-5-(trifluoromethyl)-",NA,NA,NA,INACTIVE
13658,C9H10O3,166.17,1.7,1,3,TRUE,940-31-8,7517,940318,NA,NA,"Propanoic acid, 2-phenoxy-",NA,NA,NA,ACTIVE
20838922,C34H61NO7,595.8,10.8,1,7,FALSE,68906-34-3,48694,68906343,NA,NA,"L-Aspartic acid, N-[(2Z)-3-carboxy-1-oxo-2-propen-1-yl]-N-octadecyl-, bis(2-methylpropyl) ester",NA,NA,NA,ACTIVE
6437207,C19H34O2,294.5,7,0,2,FALSE,68039-29-2,38857,68039292,NA,NA,"Nonanoic acid, (2E)-3,7-dimethyl-2,6-octadien-1-yl ester",NA,NA,NA,INACTIVE
5463397,C23H23IN2,454.3,NA,0,2,FALSE,634-21-9,6606,634219,NA,NA,"Quinolinium, 1-ethyl-2-[(1-ethyl-4(1H)-quinolinylidene)methyl]-, iodide (1:1)",NA,NA,NA,ACTIVE
87494,C4H9Cl3Si,191.55,NA,0,0,FALSE,18171-74-9,20925,18171749,NA,NA,"Silane, trichloro(1,1-dimethylethyl)-",NA,NA,NA,ACTIVE
11979711,C50H34CuN8O14,1034.4,NA,4,18,FALSE,65104-05-4,34690,65104054,NA,NA,"Cuprate(2-), bis[2-[2-[2-(hydroxy-.kappa.O)-3-[[(4-methoxyphenyl)amino]carbonyl]-1-naphthalenyl]diazenyl-.kappa.N1]-4-nitrobenzoato(2-)-.kappa.O]-, hydrogen (1:2)",NA,NA,NA,INACTIVE
13853,C5H10O,86.13,1.4,0,1,FALSE,1003-14-1,7654,1003141,NA,NA,"Oxirane, 2-propyl-",NA,NA,PMN,ACTIVE
81208,C28H18N2Na2O10S2,652.6,NA,2,10,FALSE,6711-83-7,14514,6711837,NA,NA,"Benzamide, N,N'-[9,10-bis(sulfooxy)-1,5-anthracenediyl]bis-, sodium salt (1:2)",NA,NA,NA,INACTIVE
