Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
Perfluorooctanoic acid (PFOA),C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C8HF15O2,413.9737017,414.07,5.905,"396.97041,0.713165026387106;394.97475,100;51.00408,14.990728854657;244.98433,15.2902581657396;268.98189,41.2209385251747;318.97869,17.1159606332905;368.9755,42.4047924689773","368.9766,100",335-67-1,EPAPLT0070,DTXSID8031865,Perfluorooctanoic acid,335-67-1
Perfluorodecanoic acid,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C10HF19O2,513.9673143,514.08,7.667,"496.96403,0.56844020009095;494.96836,100;51.00408,12.8353797180537;344.97794,12.7557980900409;368.9755,34.5270577535243;394.97475,10.2773988176444;418.97231,14.2905866302865;468.96911,35.4138244656662;470.98476,13.06275579809","468.97021,100",335-76-2,EPAPLT0070,DTXSID3031860,,
Butralin,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],C14H21N3O4,295.1532062,295.33,5.95,"241.10571,100;224.10297,66.6950053134963;276.13427,25.6677293659228;57.06988,25.0584484590861;82.06513,12.5611052072264;87.0189,16.5851930570315;107.08553,18.6184909670563;139.0502,10.974140984768;141.06585,21.7853347502657;154.08626,29.4084307474318;156.10191,11.2646121147715;179.09408,19.6174282678002;180.10191,22.9401346085724;188.14338,12.3910733262487;191.0815,28.6857952532767;194.10498,70.8466170740347;195.1128,40.73680481757;210.05093,10.0956429330499;218.10498,10.1098122564648;219.1128,26.2911795961743;221.12845,69.5926319518243;222.13628,17.4991144172866;223.09514,18.3988664541268;223.1441,25.7810839532412;230.14136,12.2281261069784;232.12063,17.6053843428976;233.12845,41.5373715905065;238.08223,24.6404534183493;244.12918,14.3535246191994;248.15193,47.5168260715551;252.13427,31.2787814381863;268.12918,9.08253630889125;278.14992,16.663124335813","0,100;",33629-47-9,EPAPLT0060,DTXSID3032337,,
"Hexanedioic acid, diisononyl ester",CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,C24H46O4,398.3396099,398.6,8.916,"43.05423,33.1298020658424;57.06988,60.7489950643668;71.08553,46.5679540019335;85.10118,25.3142013941892;123.11683,56.1746298275073;125.13248,35.3279397547448;127.14813,100;129.05462,33.6030122627589;237.18491,9.06731796672264;255.19547,65.1198290337353;257.21112,14.5219559354806;273.20604,29.4967689411286;381.33632,25.2633185773164;55.05423,52.5619498295426;69.06988,27.2986312522261;81.06988,38.8897369358368;83.08553,34.4578435862209;97.10118,26.8966569989315;99.11683,15.5599653996845;109.10118,18.7147000457945;113.05971,17.3713936803541;115.14813,7.38309672823488;145.15869,23.1872996489086;239.20056,16.5063857935175;287.22169,16.7251819060703;299.22169,6.47738258790007;313.23734,17.6614257365288;315.25299,9.11820078359538;355.28429,10.9754235994505;363.32576,8.62972574161706;41.03858,8.74675622042436;59.04914,4.94580980003053;67.05423,10.8940110924541;95.08553,11.7691955426652;97.06479,8.72131481198799;107.08553,4.39627537780492;115.07536,8.2073983615733;121.10118,7.70365847453315","271.19148,90.9243540714485;73.0295,7.75114261729316;87.04515,5.23272082828094;111.11792,5.71775020986848;121.10227,4.84096632776793;123.11792,4.3932468986102;125.13357,5.63380281690141;127.04007,28.4581662158381;137.09719,5.49389049528962;139.11284,21.6584273855051;141.12849,14.9519634362466;143.03498,100;143.14414,21.7983397071169;145.05063,99.0859061654696;197.1547,5.17675589963623;213.186,7.00494356869695;227.20165,5.81102509094301;253.18092,22.9269657681186;255.19657,11.3702080029848;269.17583,7.50862792649939;273.20713,4.64508907751143;355.28538,4.40257438671766;379.32177,4.92491372073501;59.01385,9.13161085719616;129.05572,24.829773342039;141.01933,10.83854118086;147.06628,74.778472157448;149.08193,32.1798339707117;169.1234,7.28476821192053;171.06628,17.1719056058203;201.11323,7.47131797406958;339.25408,7.59257531946647;341.26973,5.92295494823244",33703-08-1,EPAPLT0069,DTXSID5027982,Diisononyl adipate,33703-08-1
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,C12H7Cl3O2,287.951163,289.5,3.123,"260.96352,1.21;252.98176,47.9;51.02293,11.83;72.98395,11.48;96.98395,11.77;98.9996,16.82;112.97887,53.51;114.99452,31.87;142.98943,20.73;144.96063,11.32;145.00508,15.65;150.99452,12.71;162.9712,18.35;165.01017,13.8;166.98943,34.6;169.00508,16.65;184.95555,55.69;186.9712,17.17;193.00508,16.63;198.9712,35.47;200.95046,45.14;202.96611,15.1;222.9712,26.37;224.95046,12.12;224.98685,100;228.98176,14.63;258.94787,29.34","34.9694,100;184.95664,5.98532689450223",3380-34-5,EPAPLT0067,DTXSID5032498,,
Isopropalin,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(C)C)[N+](=O)[O-],C15H23N3O4,309.1688562,309.36,4.706,"43.05423,14.82;210.06351,16.4;268.12918,38.69;290.14992,16.48;58.06513,15.87;60.08078,12.1;164.0706,9.39;166.08626,10.28;209.12845,16.03;219.1128,31.98;221.12845,100;223.1441,22.14;226.08223,69.78;233.12845,9.45;235.1441,15.36;238.08223,15.72;240.09788,42.38;252.13427,34.22;254.11353,10.43;266.11353,10.6;270.14483,15.76","0,100;",33820-53-0,EPAPLT0068,DTXSID8024157,,
Tebuthiuron,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,C9H16N4OS,228.1044823,228.32,1.315,"172.09029,100;141.0481,39.6798652064027;143.06375,7.3013198539736;156.05899,22.4936815501264;170.07464,3.07778713844426;42.03383,4.27408031451839;44.97935,4.38640831227183;57.04472,16.2426284751474;57.06988,56.16399887672;59.08553,4.84695310306094;59.99025,11.3619769727605;70.06513,4.8750351024993;74.0059,6.7396798652064;82.06513,9.81746700365066;84.08078,8.19994383600112;86.09643,5.39736029205279;87.00115,5.21201909575962;89.0168,11.9910137601797;91.03245,5.17270429654591;99.09167,6.77899466442011;101.04195,8.1437798371244;101.07094,3.84161752316765;103.0576,11.558550968829;114.01204,12.9514181409716;116.02769,30.8115697837686;116.05285,8.87952822240944;118.0685,4.91996630160067","170.07574,100;57.97569,47.68;87.00224,9.965;116.05394,24.455;172.09139,11.81;55.03017,50;70.04107,10.07",34014-18-1,EPAPLT0069,DTXSID3024316,,
Tartrazine acid,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)O)C(=O)O)S(=O)(=O)O,C16H12N4O9S2,468.0045703,468.4,-1.708,"451.00128,100;239.0121,47.0828069369473;241.02775,6.68427701849087;343.04955,14.4998277248191;398.01112,13.9887446881819;407.01145,5.24290800505341;425.02202,57.4250602963133;441.01693,14.0691397725968;43.02907,4.47341219708281;57.00834,5.36350063167566;69.04472,4.74905248650511;78.03383,7.0747674285058;79.05423,4.63994487194212;80.04948,3.74985643734926;87.0189,4.5997473297347;99.0189,5.43241070403124;105.04472,57.4250602963133;107.06037,10.8073963477662;119.06037,9.9517629493511;132.99539,5.18548294475709;175.0502,3.91064660617894;187.01719,10.342253359366;199.01719,7.94762834500976;209.00154,6.012403813024;211.01719,3.22154588262318;227.0121,3.25025841277133;231.05127,4.43321465487539;236.99645,3.16412082232686;267.01825,10.0034455036178;307.08257,3.47995865395659;313.02373,4.46766969105318;351.03938,3.41679108763064;375.03938,5.3692431377053;389.05503,4.38153210060871;442.9962,4.39301711266797","423.00746,100;172.00739,39.795;395.01255,20.545;80.96519,50;105.04582,18.895;118.98084,7.08;151.01492,4.165;156.99649,27.155;185.00264,8.3;197.98665,5.745;200.0023,8.65;224.99755,6.395;239.0132,12.72;252.00845,3.69;267.01935,5.975;291.01935,15.855;295.99828,4.23;317.035,11.88;329.035,5.08;335.00918,4.09;343.05065,17.67;349.02483,5.245;396.99181,6.34;420.99181,3.925;440.98164,3.855",34175-08-1,EPAPLT0070,DTXSID1021455,C.I. Acid Yellow 23,1934-21-0
Acetochlor,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,C14H20ClNO2,269.1182566,269.77,2.181,"148.11208,100;196.05237,15.8333333333333;212.08367,6.71666666666667;224.08367,41.7266666666667;106.00542,12.5233333333333;108.02107,5.9;119.08553,16.6666666666667;124.01598,1.06;134.09643,3.54666666666667;164.10699,5.1;166.12264,6.69;198.06802,3.91;59.04914,3.7;76.97887,1.95333333333333;79.05423,2.00666666666667;81.06988,3.28;91.05423,3.30666666666667;93.06988,1.94333333333333;103.05423,1.95;105.06988,4.2;117.06988,1.79;121.10118,2.84333333333333;123.11683,2.00666666666667;125.13248,3.26666666666667;127.14813,3.22333333333333;132.08078,1.76666666666667;136.11208,3.32;144.08078,3.96;146.09643,5.43333333333333;150.12773,2.06666666666667;162.09134,2.63;182.03672,1.86;206.0731,2.93666666666667;208.05237,1.67333333333333","174.09244,100;176.10809,22.371280113368;188.10809,28.8001889466226;210.06912,48.0444024563061;232.1343,41.4596126594237;74.96432,4.59612659423713;76.97997,13.7458667926311;91.05532,12.3382144544166;119.08662,8.85214926783184;132.08187,42.1398205007085;134.09752,27.3169579593765;146.09752,29.2205951818611;148.11317,12.371280113368;160.07679,53.538025507794;182.03782,6.64147378365612;224.08477,4.35994331601323;68.01419,5.12517713745867;72.04549,10.5857345299953;74.06114,16.0604629192253;119.98578,9.59848842701937;122.00143,4.65753424657534;130.06622,4.61029759093056;144.08187,4.15210203117619;162.09244,31.0203117619272;164.10809,7.23193197921587;196.05347,6.22579121398205",34256-82-1,EPAPLT0069,DTXSID8023848,,
"2-{[6-methoxy-1,1-dioxido-3-oxo-4-(propan-2-yl)-1,2-benzothiazol-2(3H)-yl]methoxy}-9-[2-(piperidin-1-yl)ethoxy]-4H-pyrido[1,2-a]pyrimidin-4-one",CC(C)C1=C2C(=CC(=C1)OC)S(=O)(=O)N(C2=O)COC3=CC(=O)N4C=CC=C(C4=N3)OCCN5CCCCC5,C27H32N4O7S,556.1991706,556.6,1.728,"112.11208,100;98.09643,20.2289166203005;205.06077,24.6244336698196;207.07642,21.1668388840315;268.06381,8.60821874254829;286.07437,6.96288053413878;288.13427,3.79938001748669;290.14992,38.2004610126381;302.14992,3.96629838645577;383.13837,2.94889118512042;432.086,2.90914871631826;446.10165,56.1084174548923;472.1173,27.8912646053573;493.24455,2.56736348461966;513.14385,4.8088387250616;515.1595,11.3504490898975;43.05423,10.9609728956363;56.04948,6.37469199586678;69.06988,10.1502265320722;70.06513,9.62562594388363;82.06513,34.2739050949845;84.08078,21.6437485096574;86.09643,30.1406883395597;96.08078,21.7947698911056;110.09643,6.72442572132581;149.09609,25.9756776090931;187.0502,6.64494078372149;189.06585,19.0525395437565;191.0815,21.8663063349495;240.03251,17.995389873619;256.06381,10.9291789205945;262.08223,14.6013830379143;270.07946,8.94205548048645;326.04413,18.5438359430888;381.12272,14.8795803195294;430.10673,7.0662109530244;444.086,8.23463953580796;458.10165,6.78801367140927;474.13295,12.0737620220968;0.12883,0.0955091010253557;491.2289,7.3841507034417","444.08709,20.8398133748056;108.08187,31.104199066874;110.09752,24.899729884587;147.08154,50.7898829499877;161.03565,5.27134321028076;177.03057,8.44724564131947;191.04622,27.1506916591635;203.04622,4.36277318490628;218.12989,44.4135221412785;220.14554,3.51968568388311;254.04925,57.7228452156831;260.0962,20.8152574281739;266.04925,75.1248260620447;270.1248,3.93713677662274;272.14045,13.7758860604076;284.05982,100;286.11971,11.4594417614799;288.13537,34.3292133911762;306.04417,5.53327330768601;308.05982,27.9855938446427;315.14626,9.59318981746746;343.14118,4.94393058852419;407.10308,4.82933617090939;428.09218,7.31767209625931;450.13404,7.66964066464762;491.22999,8.51272816567079;523.16568,8.18531554391422;525.18133,3.00401080461652;527.19698,8.37357780142424;539.16059,3.02856675124826;41.00329,35.8025701890808;93.04582,36.064500286486;177.06695,24.3103871654252;193.06187,42.74371777032;217.06187,67.0704755668331;219.07752,17.4920193173447;236.03869,23.4181877711386;238.01795,22.141278546288;252.0336,63.6653843005648;268.02852,36.3428010149791;268.0649,28.9432757632807;274.11185,17.9913235655235;282.04417,21.4046001473357;288.09112,17.3856102152738;290.10677,34.1818777113858;302.15102,17.8194319391012;378.07653,23.5164115576655;380.09218,17.655725628223;515.16059,25.955635589752;553.17624,19.5792747810428",344930-95-6,EPAPLT0066,DTXSID1047368,SSR69071,344930-95-6
"Propanol, 1(or 2)-(2-methoxymethylethoxy)-",CC(COC)OCC(C)OC(=O)C,C9H18O4,190.1205091,190.24,0.781,"41.03858,76.1130928788479;43.05423,55.6084026952041;71.04914,27.1546219227551;73.06479,100;85.06479,17.5936935746686;87.08044,27.9605408023957;91.07536,11.4854450169551;99.08044,40.018496498877;101.09609,20.3285330514819;103.11174,7.75972167173119;131.10666,18.0737217598098;43.01784,15.017395516801;45.03349,51.49072973092;57.03349,16.9463161139737;59.04914,27.6963051041529;101.05971,6.3900999691725;89.05971,5.09094111947858","57.03459,20.4784688995215;59.01385,100;71.05024,6.72153110047847;89.0608,12.1531100478469;97.06589,13.2019138755981;99.08154,38.2775119617225;129.0921,18.3387559808612;43.01894,9.9866028708134;55.01894,5.711004784689;59.05024,3.9311004784689;85.06589,3.48708133971292;87.04515,8.22966507177034;99.04515,8.50909090909091;41.00329,6.81722488038278;73.0295,2.8822966507177;75.04515,2.47655502392345",34590-94-8,EPAPLT0066,DTXSID0027983,Dipropylene glycol monomethyl ether,34590-94-8
"1-ethyl-5-(4-hydroxyphenyl)-3-methyl-6,7-dihydropyrazolo[4,3-e][1,4]diazepin-8(1H)-one",CCN1C2=C(C(=N1)C)N=C(CNC2=O)C3=CC=C(C=C3)O,C15H16N4O2,284.1273258,284.31,0.572,"257.1033,88.19;225.06585,23.24;227.0815,37.21;228.11314,24.48;255.08765,36.84;257.13969,31.07;109.07602,23.61;119.04914,26.49;120.04439,15.09;134.06004,100;136.07569,13.38;137.07094,16.32;139.06144,13.23;149.07094,13.91;167.09274,28.43;185.07094,14.44;200.08184,39.26;201.06585,30.72;207.05529,18.58;212.08184,34.48;214.09749,43.12;229.09715,16.1;229.10839,44.96;239.09274,14.45;240.07675,31.78;242.0924,34.86;242.12879,14.13;244.10805,15.07;253.10839,16.01;255.12404,13.87;268.10805,16.8","255.08875,73.4665697674419;41.99854,100;199.0513,36.8459302325581;237.07818,3.40843023255814;239.05745,9.91279069767442;253.0731,29.3095930232558;0.55333,0.354803779069767;255.12513,5.13081395348837;257.1044,4.88372093023256;281.1044,13.328488372093;40.01927,9.52761627906977;65.03967,4.76017441860465;66.03492,5.26162790697674;77.03967,5.34156976744186;79.03017,10.2470930232558;93.03459,12.8997093023256;107.06147,7.91424418604651;118.02984,5.6468023255814;120.04549,4.11337209302326;122.07237,6.22093023255814;161.04688,7.25290697674419;175.09892,4.65843023255814;183.05639,8.22674418604651;185.07204,6.19912790697674;198.06729,23.9244186046512;201.06695,9.18604651162791;201.07818,5.1453488372093;212.08294,8.11046511627907;213.07818,6.31540697674419;214.0622,8.88081395348837;226.09859,5.00726744186046;227.0826,10.0726744186047;227.09383,6.69331395348837;229.10948,4.25145348837209;240.07785,4.375;242.0935,6.7078488372093",349495-42-7,EPAPLT0067,DTXSID3047263,PharmaGSID_47263,349495-42-7
Butam,CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,C15H23NO,233.1779644,233.35,2.574,"91.05423,100;114.09134,9.99264570693142;150.12773,31.5591101305387;156.13829,7.59330759330759;41.03858,26.1858797573083;43.05423,8.79757308328737;57.06988,84.6892811178525;85.06479,8.21382607096893;106.06513,13.8214745357603;160.11208,5.80069865784152;192.13829,6.07648464791322;216.17468,7.0876999448428;232.16959,7.82312925170068","148.11317,10.16;77.03967,99.26;104.05057,98.79;140.10809,5.75;146.09752,6.94;230.15504,14.47;56.05057,50.76;69.03459,30.48;91.05532,16.19;102.03492,21.54;106.06622,48.29;112.07679,33.05;132.04549,100;132.08187,22.01;134.06114,17.16;164.10809,18.12;172.07679,16.21;174.09244,28.06;188.10809,21.75",35256-85-0,EPAPLT0066,DTXSID5041691,,
"3-pyridinecarboxamide, 2-(2,1,3-benzoxadiazol-5-yloxy)-N-[[4-(1-hydroxy-1-methylethyl)phenyl]methyl]- (pharma)",CC(C)(C1=CC=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=NON=C4C=C3)O,C22H20N4O4,404.1484551,404.4,1.09,"387.14517,100;0.10635,0.0359797405938471;131.08553,77.8915210633508;149.09609,13.2329295744453;174.09134,5.1827634258763;240.04037,81.6057455247079;65.03858,11.458891628256;75.02293,16.7702862043091;91.05423,17.3598456426198;109.06479,5.63833208275271;119.08553,2.2135277092936;121.06479,6.41011898381391;123.08044,6.43155750884339;133.06479,3.12466502304641;137.03455,3.05498981670061;148.11208,4.3037838996677;150.09134,2.14921213420517;214.0611,4.989816700611;216.07675,2.1438525029478;226.0611,12.3968270982956;227.04512,2.25104512809519;242.05602,2.85668346017794;321.09822,2.66373673491264;369.1346,6.0081466395112;374.14992,11.951977703934;0.040336,0.0181718297781113","352.13028,52.9153785318858;385.13061,18.9445682651521;117.07097,24.0851247393774;119.02509,50.8879143000935;135.02,96.0097778416852;159.02,34.5603566036379;190.08735,19.0308433388453;212.04655,100;334.11971,13.8471493277734;348.09898,12.5242648644762;350.11463,71.8958947444101;377.12553,12.5961607592206;64.01927,4.22028902149687;69.00944,5.9961176216838;93.00944,21.4321662233086;107.02509,26.3354662448774;121.04074,4.29218491624128;137.03565,6.09677187432598;144.04549,7.40527715867424;160.01525,13.2144654540226;161.03565,5.32748580056079;162.0309,5.48565676899849;183.02,8.87914300093465;185.03565,5.25558990581638;186.0309,5.96735926378604;214.0622,4.57976849521892;309.12447,4.13401394780358",353280-07-6,EPAPLT0067,DTXSID1047281,CP-612372,353280-07-6
Perfluorohexanesulfonic acid,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,C6HF13O3S,399.9438812,400.12,4.57,"318.97869,69.81;51.00408,28.61;130.9609,36.18;218.98508,28.99;380.94493,100","318.97979,24.7211895910781;18.99895,100",355-46-4,EPAPLT0061,DTXSID3037709,Potassium perfluorohexanesulfonate,3871-99-6
Imazalil,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,C14H14Cl2N2O,296.0483185,297.2,2.407,"239.01373,47.1356445641198;257.02429,18.8286772130596;41.03858,11.8209357118815;69.04472,78.6199932682598;158.97628,100;172.99193,9.81487714574217;236.99808,23.9919219118142;241.02938,26.1864692022888;255.00864,6.40861662739818;269.02429,7.88959946146079;270.0447,5.04880511612252;271.03994,8.56277347694379;39.02293,1.76371592056547;81.04472,4.94782901380007;83.06037,4.39582632110401;91.02907,1.7704476607203;160.99193,5.39885560417368;186.9712,2.23493773140357;188.98685,2.5782564792999;209.98718,1.66273981824302","34.9694,100;67.03017,50.3655564581641;239.01483,11.3600410449357;255.00974,8.00803796656548;259.06436,4.54487152080038;57.03459,3.33917653597845;170.97738,5.6180255675745;234.98353,66.4115609902091;293.02539,3.36055410663132;71.06147,2.67647184573945;81.04582,7.86267048612596;107.02509,2.86031895335414;109.04074,2.58668604899739;186.97229,3.8607892599085;219.03306,3.35627859250075;252.99409,11.0992346829706",35554-44-0,EPAPLT0063,DTXSID8024151,,
Azamethiphos,COP(=O)(OC)SCN1C2=C(C=C(C=N2)Cl)OC1=O,C9H10ClN2O5PS,323.9736573,324.68,-0.137,"182.99558,100;139.00575,7.825;111.99485,50;114.0105,11.105;280.9911,2.17","214.96875,0;34.9694,0;92.9747,0;94.99035,0;168.98103,0;0.10383,0;57.97569,0;127.99086,0;140.98611,0;141.97013,0;155.00176,0;182.99668,0;212.9531,0",35575-96-3,EPAPLT0064,DTXSID9034818,,
Elzasonan (CP-448187 pharma),CN1CCN(CC1)C2=CC=CC=C2C=C3C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl,C22H23Cl2N3OS,447.0938889,448.4,3.322,"273.98547,4.08;189.13862,26.43;233.1107,49.66;235.12635,2.75;261.98547,4.89;377.02767,8.18;386.08214,18.86;388.09779,31.51;391.04332,38.01;412.12449,23.67;420.06987,28.17;420.10625,9.73;446.08552,2.6;34.995,25.46;58.995,32.75;61.01065,100;99.09167,25.69;118.06513,19.75;120.08078,14.53;128.01646,25.06;183.99822,21.76;188.00283,52.85;201.13862,36.47;215.9436,28.65;217.95925,16.97;219.9749,23.92;225.10224,68.82;227.11789,39.28;257.1107,25.75;259.96982,22.9;261.10561,16.08;263.12126,16.96;302.13216,16.61;326.13216,20.49;388.12449,35.46;405.05897,18.27","34.9694,100;420.07096,24.0878775990585;32.98044,3.09925460965084;185.10842,4.75480580619851;199.12407,5.34327187132209;231.09614,5.03726951745783;233.11179,4.91957630443311;241.96035,6.69282071400549;257.95526,6.55943507257748;259.97091,7.08513142408788;271.97091,7.07728520988623;300.11761,3.9466457434288;348.00221,6.24558650451157;384.06759,4.1114162416634;386.08324,12.7893291486858;386.10993,3.95449195763044;391.04441,16.9242840329541;412.09889,10.757159670459;416.03966,3.93879952922715;418.05531,33.7544134954884;418.0917,13.9113377795214;444.07096,2.99725382502942;1.5876,0.513346410357003;44.98044,3.12279325225579;46.99609,4.32326402510789;56.05057,1.85170655158886;174.03829,1.8909376225971;175.12407,2.07140054923499;185.98828,2.84032954099647;187.96754,2.67555904276187;225.98319,1.79678305217732;358.98181,2.08709297763829;360.99746,2.17340133385641;363.01311,2.69909768536681;372.99746,8.25421734013339;375.01311,1.55355041192625;388.09889,4.02510788544527;389.02876,3.37387210670851;393.06006,1.47508826990977;400.09889,2.86386818360141;410.10993,1.85170655158886;430.05531,2.87171439780306",361343-19-3,EPAPLT0065,DTXSID7047277,Elzasonan,361343-19-3
Fluoxastrobin,CON=C(C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)C4=NOCCO4,C21H16ClFN4O5,458.0793255,458.8,2.948,"427.06039,100;342.04401,99.8503713995618;412.04949,30.3532303746059;0.27084,0.110441938759151;70.00875,25.933842783092;88.01932,22.1877838935499;129.01017,31.4166622134345;150.99452,14.6636028429434;188.03422,11.4519318121092;190.04987,11.4572756906963;198.01165,28.4775289905413;213.02255,13.1566290813873;217.06077,22.7488911451932;225.02255,20.557900924491;241.01746,18.7783893549939;261.067,23.3794688184684;262.06225,24.7368139795864;302.05716,26.9384919574627;317.06806,22.6527013306258;329.04876,26.8262705071341;344.05966,33.8000320632715;354.04401,34.9169026879709;357.04367,12.4245177149575;358.03892,12.9749372094266;370.03892,11.6603430770053;372.05457,36.7498530433389;386.03384,25.4796131031903;387.05424,21.7335542136483;402.06514,17.4691391011596;414.06514,30.8608988403783;0.011054,0.00355298455619088;429.07604,11.9489125207075;457.07095,14.4658793352215","340.02946,100;415.06148,64.2886818208796;425.04583,42.5722594812749;34.9694,64.4607988604665;41.99854,11.8167250281916;43.01894,10.2736067422399;84.0091,11.1401270105051;86.02475,3.66787346430055;211.00799,8.32690367380853;239.00291,23.7165410410113;315.03421,17.7992759214197;342.04511,11.4784260193483;354.04511,5.64425188438483;355.02912,14.4281559736483;367.04036,7.88177339901478;370.04002,9.11033295744555;372.05567,6.51077215265001;384.01929,16.2146121431539;397.05092,6.72443468455101;400.05059,5.38904386016974;412.05059,22.695708944151;427.06148,5.53148554810375;18.99895,2.86663896967179;59.01385,6.03003145587275;65.00329,3.07436643124221;68.01419,3.98243219182147;111.02,7.77494213306428;126.99562,26.0371535402695;187.0513,3.79844501157339;223.00799,2.73013235206837;235.07243,2.72419728173779;247.05244,4.46317288859873;253.04188,3.78063980058164;260.06768,3.84592557421805;263.04736,3.95275684016856;287.07858,3.05656122025046;315.05351,4.66496527983857;379.08481,2.80135319603537;381.04477,2.99127544661404;386.03494,3.99430233248264;429.04075,4.74805626446673",361377-29-9,EPAPLT0061,DTXSID2034625,,
1-Hexadecanol,CCCCCCCCCCCCCCCCO,C16H34O,242.2609657,242.44,7.679,"43.05423,73.2064848073003;55.05423,35.8314726725561;57.06988,100;69.06988,20.5028637996311;71.08553,58.3875351907582;83.08553,14.673332686147;85.10118,17.8380739734006;97.10118,9.58644791767789;99.11683,12.2706533346277;113.13248,11.9066110086399;117.12739,8.72730802834676;127.14813,10.0427142995826;129.16378,1.93670517425493;225.25768,15.9450538782642;59.08553,8.39238908843801;61.06479,7.470148529269;115.11174,5.35384914086011;115.14813,6.34404426754684;41.03858,12.5618871954179;45.03349,8.75643141442578","239.23804,65.8575197889182;41.03967,19.8416886543536;43.01894,100;53.03967,18.0211081794195;55.01894,37.2031662269129;57.03459,41.9261213720317;57.07097,41.1609498680739;59.05024,20.1583113456464;67.05532,33.6147757255937;71.08662,60.8970976253298;99.11792,24.9076517150396;111.11792,18.8390501319261;113.13357,27.0184696569921;125.13357,27.8891820580475;127.11284,17.598944591029;127.14922,86.5699208443272;139.14922,27.2823218997362;141.12849,23.3245382585752;141.16487,19.8944591029024;153.16487,20.3957783641161;167.18052,31.2928759894459;169.15979,31.1609498680739;169.19617,16.7810026385224;181.19617,24.8548812664908;183.17544,19.2084432717678;183.21182,16.3324538258575;209.22747,21.820580474934;211.20674,20.7651715039578;211.24312,18.4696569920844;223.24312,45.2242744063325",36653-82-4,EPAPLT0066,DTXSID4027991,,
Iprodione,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,C13H13Cl2N3O3,329.0333967,330.16,1.627,"244.98791,100;44.01309,6.33120862956607;58.02874,13.7288551115469;99.0189,48.0080902181907;101.03455,9.86148565824957;187.96645,83.1944103947046;216.99299,10.878891885266;242.97226,17.2530031870557;270.96717,3.49350330963471;287.99372,16.5113998529051;127.01382,4.99509683746016;161.98718,8.16989458200539;189.9821,3.95317479774455;201.9821,11.1117921059083;209.01123,5.54670262319196","56.01419,70.9724950884086;141.06695,86.3150785854617;41.99854,100;81.99345,16.0609037328094;84.0091,6.96218074656189;84.04549,10.7011296660118;99.02,7.72347740667976;99.05639,17.6264734774067;113.07204,6.92534381139489;159.97263,34.301326129666;187.96754,7.34896856581532;242.97336,21.2242141453831;300.03121,11.7018664047151;34.9694,11.6404715127701;42.03492,2.81802554027505;185.95189,3.05132612966601",36734-19-7,EPAPLT0068,DTXSID3024154,"3-(3,5-Dichlorophenyl)-N-(1-methylethyl)-2,4-dioxo-1-imidazolidinecarboxamide",36734-19-7
