Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
"4,4-Methylenebis(N,N-dimethylaniline)",CN(C)C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)C,C17H22N2,254.1782987,254.37,2.976,"134.09643,100;120.08078,38.7024002887565;210.12773,9.32142212597004;253.16993,5.31492510377188;77.03858,20.0595560368165;168.08078,29.4892618660892;170.09643,37.222523010287;172.11208,20.3663598628406;184.11208,29.5434037177405;186.12773,27.170185887024;239.15428,21.9906154123804","120.08187,15.41;134.09752,26.09;42.03492,12.06;44.05057,12.28;54.03492,13.56;104.05057,53.67;118.06622,100;158.09752,74.59;184.11317,11.05;194.09752,21.88;210.12882,11.07;225.13972,11.45;227.15537,22.78;251.15537,16.64",101-61-1,EPAPLT0064,DTXSID5020869,,
"4,4-Methylenedianiline",C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,C13H14N2,198.1156985,198.26,0.924,"106.06513,68.33;92.04948,80.13;94.06513,22.76;65.03858,62.63;77.03858,83.79;79.05423,100;104.04948,27.26;116.04948,25.16;125.03858,74.22;132.08078,20.37;140.04948,42.18;142.06513,69.31;146.09643,42.26;170.09643,19.25;182.09643,28.14","92.05057,49.14;104.05057,51.9;118.06622,23.56;128.05057,30.29;130.06622,100;180.08187,20.62",101-77-9,EPAPLT0063,DTXSID6022422,"4,4'-Diaminobiphenyl methane",101-77-9
"4,4-Oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,C12H12N2O,200.094963,200.24,0.757,"184.07569,1.15;94.06513,27.97;51.02293,14.63;65.03858,86.14;80.04948,17.99;92.04948,100;148.07569,17.41","92.05057,1.19304624474492;132.04549,100;65.00329,56.8117259402341;91.01894,21.4350641972503;106.02984,55.8800136348142;108.04549,24.3779116009544",101-80-4,EPAPLT0060,DTXSID0021094,,
2-Benzylideneoctanal,CCCCCCC(=CC1=CC=CC=C1)C=O,C15H20O,216.1514153,216.32,4.889,"91.05423,100;115.05423,19.5428732341484;117.06988,21.7628009574318;131.04914,15.5348007697001;133.06479,10.4331909701037;145.06479,2.58600459942742;147.08044,8.65912610879054;199.14813,14.2676115830478;43.05423,12.0523771530483;55.05423,5.82437696531656;57.06988,1.95241000610128;79.05423,14.3004646360351;81.06988,3.96113953160933;89.03858,1.52062702398273;93.06988,12.6531186933872;95.08553,2.17768808372835;103.05423,22.4151687238936;105.06988,7.59374853334585;107.08553,2.73149669122824;129.03349,11.6065142910781;159.11683,4.0080724644483;65.03858,5.90885624442671;75.02293,2.55315154644014;83.04914,3.04594734124935;97.10118,2.48275214718168;105.03349,2.54376495987234;119.08553,2.55315154644014;131.08553,3.91420659877036;143.08553,6.08250809593092;145.10118,5.66011170038016","187.14922,79.6294662549625;91.05532,100;183.11792,4.25231583590648;185.13357,4.50816056462285;197.13357,3.62593736215262;55.01894,7.24305249228055;65.00329,13.8685487428319;65.03967,22.8936921041023;67.01894,14.0626378473754;67.05532,8.2223202470225;69.03459,9.56329951477724;77.03967,20.4058226731363;93.07097,10.9483899426555;101.03967,8.76047640052933;103.05532,40.0441111601235;105.07097,9.58094397882664;115.05532,28.1252756947508;117.07097,25.4344949272166;119.08662,7.26069695632995;127.05532,6.80194089104543;129.07097,36.4887516541685;131.05024,6.51962946625496;131.08662,15.9947066607852;141.07097,17.8914865460962;143.08662,38.5884428760476;145.10227,9.84561093956771;157.10227,23.7053374503749;159.11792,8.53109836788708;171.11792,6.98720776356418",101-86-0,EPAPLT0066,DTXSID4026684,2-(Phenylmethylene)octanal,101-86-0
"1,3-Diphenylguanidine",C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,C13H13N3,211.1109474,211.26,1.295,"195.09167,2.71877655055225;94.06513,100;119.06037,21.6652506372133;51.02293,9.82724440668366;65.03858,22.309544038516;67.02907,11.2007929764939;67.05423,10.9105069385443;92.04948,28.8728405550835;136.08692,8.92806570376664;158.07127,12.2486547720193;160.08692,10.1387708864344","92.05057,100;117.04582,72.88;193.07712,7.115;194.07237,5.305",102-06-7,EPAPLT0064,DTXSID3025178,,
"2,2-Dibromo-3-nitrilopropionamide",C(#N)C(C(=O)N)(Br)Br,C3H2Br2N2O,239.85339,241.87,0.209,"197.85485,5.10087216985288;195.8392,100;223.83411,17.4874460399965;117.92869,44.3837547352656","41.99854,100;195.8403,0.259820600061862",10222-01-2,EPAPLT0063,DTXSID5032361,,
N-Ethyl-3-methylaniline,CCNC1=CC=CC(=C1)C,C9H13N,135.1047994,135.21,1.813,"108.08078,100;81.06988,9.82053454517446;91.05423,98.7984287144728;106.06513,62.358468766849;120.08078,24.7169375336979;0.19326,0.126742663483016;39.02293,10.8757606100285;51.02293,33.2742817530617;54.03383,13.6178079026419;63.02293,20.3650928136794;65.03858,54.3556959100362;67.05423,15.7205576523146;79.05423,62.1196949857506;80.04948,15.2353077100824;93.06988,11.7769390741739","106.06622,100;40.01927,39.2526299262051;42.03492,18.9550949913644;91.05532,12.1879415920867",102-27-2,EPAPLT0066,DTXSID4021848,,
Heptachlor epoxide,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,C10H5Cl7O,385.816009,389.3,3.032,"350.84661,100;296.83604,74.2105263157895","348.83205,2.2782874617737;34.9694,100",1024-57-3,EPAPLT0061,DTXSID1024126,Heptachlor epoxide B,1024-57-3
"N,N,N,N-Tetrakis(2-Hydroxypropyl)ethylenediamine",CC(CN(CCN(CC(C)O)CC(C)O)CC(C)O)O,C14H32N2O4,292.2362075,292.41,-1.08,"160.13321,100;102.09134,60.3478260869565;116.10699,42.7065217391304;142.12264,24.2554347826087;257.22235,8.65217391304348;275.23292,32.875;45.03349,7.41304347826087;47.04914,9.44021739130435;59.04914,8.47282608695652;88.07569,8.58152173913043;100.07569,28.5380434782609;114.09134,9.90760869565218;130.12264,7.6304347826087;217.19105,15.7608695652174","114.09244,11.71;273.21837,95.54;43.01894,45.53;45.03459,24.19;57.03459,38.08;59.05024,11.64;215.1765,31.21;229.19215,10.66;233.18707,18.43;275.19763,10.02;84.04549,24.01;86.06114,43.92;88.07679,23.1;102.09244,11.06;128.10809,19.16;130.08735,30.99;132.103,11.39;144.103,12.01;158.11865,100;160.1343,16.27;173.12955,20.34;213.16085,19.81",102-60-3,EPAPLT0061,DTXSID9026689,"1,1′,1′′,1′′′-(Ethylenedinitrilo)tetrakis(2-propanol)",102-60-3
Methamidophos,COP(=O)(N)SC,C2H8NO2PS,141.0013367,141.13,-0.545,"94.00524,100;124.98206,25.1091500232234;46.995,44.7515095215978;63.99468,46.4468183929401;78.99434,18.2257315373897","61.98012,100;91.99069,50.604370060437;77.97504,38.7416705408337;46.99609,38.7416705408337;107.96784,19.8318611498528",10265-92-6,EPAPLT0062,DTXSID6024177,,
